Country,outbreak.identifier,react.vac.start.date.one,react.vac.end.date.one,react.vac.start.date.two,react.vac.end.date.two,Geographic.marker.1,Geographic.marker.2,Geographic.marker.3,vacc.marker,reac.vac.one,reac.target.pop.one,reac.vac.perc.one,source.one,source.two,source.three
Uganda ,Uganda_2010,1/22/2011,1/25/2011,,,Northern Region,Pader District,,Uganda_2011_1_pv,,205898,96.1,https://reliefweb.int/report/uganda/yellow-fever-epidemic-dref-operation-final-report-n°-mdrug019,https://pmc.ncbi.nlm.nih.gov/articles/PMC3608017/,
Ghana,Ghana_2011,11/22/2011,11/28/2011,,,"Ashanti Region, Brong Ahafo Region, Central Region, Eastern Region, Greater Accra Region, Northern Region, Upper West Region, Western Region",,,Ghana_2011_1_admin,,235082,82.3,https://reliefweb.int/report/ghana/yellow-fever-outbreak-dref-operation-n°-mdrgh005,https://iris.who.int/items/f0bf630c-27e4-413a-a6ba-7a36577964dd,
Cameroon,Cameroon_2011,1/23/2012,1/29/2012,,,Northern Region,"Bibemi District, Gaschiga District, Lagdo District, Mayo Oulo District, Golombe District",,Cameroon_2011_1_admin,,1170258,96.8,https://iris.who.int/handle/10665/242092,,
Cameroon,Cameroon_2011,1/23/2012,1/29/2012,,,Northern Region,"Bibemi District, Gaschiga District, Lagdo District, Mayo Oulo District, Golombe District",,Cameroon_2011_1_pv,,1170258,93.9,https://iris.who.int/handle/10665/242092,,
Sudan,Sudan_2012,11/20/2012,12/7/2012,,,Darfur Region,West Darfur State,"Habila Locality, Krenik Locality, Geneina Locality, Beidha Locality",Sudan_2012_1_im,,,94,https://reliefweb.int/report/sudan/sudan-humanitarian-bulletin-issue-02-7-13-jan-2013,https://reliefweb.int/report/sudan/unamid-lends-resources-fighting-yellow-fever-darfur,https://reliefweb.int/report/sudan/yellow-fever-outbreak-darfur-sudan-situation-report-no-13-10-december-2012
Sudan,Sudan_2012,11/24/2012,12/5/2012,,,Darfur Region,North Darfur State,"Saraf Omra Locality, Al Seref Locality",Sudan_2012_1_im,,,97,https://reliefweb.int/report/sudan/sudan-humanitarian-bulletin-issue-02-7-13-jan-2013,https://reliefweb.int/report/sudan/unamid-lends-resources-fighting-yellow-fever-darfur,https://reliefweb.int/report/sudan/yellow-fever-outbreak-darfur-sudan-situation-report-no-13-10-december-2012
Sudan,Sudan_2012,11/25/2012,12/5/2012,,,Darfur Region,Central Darfur State,"Zalinge Locality, Azum Locality, Wadi Locality, Salah Locality",Sudan_2012_1_im,,,96,https://reliefweb.int/report/sudan/sudan-humanitarian-bulletin-issue-02-7-13-jan-2013,https://reliefweb.int/report/sudan/unamid-lends-resources-fighting-yellow-fever-darfur,https://reliefweb.int/report/sudan/yellow-fever-claims-more-lives-south-darfur
Sudan,Sudan_2012,11/25/2012,12/7/2012,,,Darfur Region,South Darfur State,"Kass Locality, Jebel Marra Locality",Sudan_2012_1_im,,,98,https://reliefweb.int/report/sudan/sudan-humanitarian-bulletin-issue-02-7-13-jan-2013,https://reliefweb.int/report/sudan/unamid-lends-resources-fighting-yellow-fever-darfur,https://reliefweb.int/report/sudan/yellow-fever-outbreak-darfur-sudan-situation-report-no-13-10-december-2012
Sudan,Sudan_2012,12/17/2012,12/27/2012,,,Darfur Region,South Darfur State,"Nyala Locality, El Salaam Locality, Belail Locality",Sudan_2012_2_im,,,87,https://reliefweb.int/report/sudan/sudan-humanitarian-bulletin-issue-02-7-13-jan-2013,https://reliefweb.int/report/sudan/yellow-fever-outbreak-darfur-sudan-situation-report-no-14-20-december-2012,https://reliefweb.int/report/sudan/new-yellow-fever-cases-registered-c-darfur
Sudan,Sudan_2012,12/18/2012,12/29/2012,,,Darfur Region,Central Darfur State,"Mukjar Locality, Bendessey Locality",Sudan_2012_2_im,,,87,https://reliefweb.int/report/sudan/sudan-humanitarian-bulletin-issue-02-7-13-jan-2013,https://reliefweb.int/report/sudan/yellow-fever-outbreak-darfur-sudan-situation-report-no-14-20-december-2012,"https://reliefweb.int/report/sudan/second-phase-yellow-fever-campaign-c-darfur#:~:text=In%20South%20Darfur%2C%20the%20second,and%20the%20camps%20for%20displaced."
Chad,Chad_2012,2/22/2013,3/2/2013,,,"Goz Beida health District, Guereda health District, Adre health District",,,Chad_2013_1_admin,,1017295,97.42,https://reliefweb.int/report/chad/chad-consolidated-appeal-mid-year-review-2013,https://iris.who.int/handle/10665/242094,
DRC,DRC_2013,6/20/2013,6/24/2013,,,Lomami Province,"Lubao Zone, Kamana Zone, Ludimbi-Lukula Zone",,DRC_2013_1_pv,,503426,102,https://iris.who.int/handle/10665/242235,,
Cameroon,CameroonLittorial_2013,8/27/2013,9/1/2013,,,Littoral region,"Dibombari District, Edea District, Loum District, Manjo District, Manoka District, Mbanga District, Melong District, Ndom District, Ngambe District, Nkondjock District, Nkongsamba District, Pouma District, Yabass District",,Cameroon_2013_1_admin,,663900,94,https://iris.who.int/handle/10665/242235,,
Cameroon,CameroonWestern/Central_2013,1/3/2014,1/9/2014,,,Western region,Dshang District,,Cameroon_2013_2_admin,,200577,101.8,https://iris.who.int/handle/10665/242235,,
Cameroon,CameroonWestern/Central_2013,1/3/2014,1/9/2014,,,Central Region,Ngoumou District,,Cameroon_2013_2_admin,,45139,102,https://iris.who.int/handle/10665/242235,,
DRC,DRC_2013,5/20/2014,5/24/2014,,,Bas-Uele Province,Bondo Health District,,DRC_2014_1_pv,,,93.1,https://iris.who.int/server/api/core/bitstreams/8a2368c6-1c62-4b21-be86-42184447edb2/content,,
DRC,DRC_2013,5/20/2014,5/24/2014,,,Bas-Uele Province,Buta Health District,,DRC_2014_1_pv,,,95.0,https://iris.who.int/server/api/core/bitstreams/8a2368c6-1c62-4b21-be86-42184447edb2/content,,
DRC,DRC_2013,5/20/2014,5/24/2014,,,Haut-Lomami,Kinkondja Health District,,DRC_2014_1_pv,,,95.0,https://iris.who.int/server/api/core/bitstreams/8a2368c6-1c62-4b21-be86-42184447edb2/content,,
DRC,DRC_2013,5/20/2014,5/24/2014,,,"Bas-Uele, Haut-Lomami","Kinkondja Health District, Bondo Health District, Buta Health District",,DRC_2014_1_admin,,504394,105,https://iris.who.int/server/api/core/bitstreams/8a2368c6-1c62-4b21-be86-42184447edb2/content,,
Angola ,Angola_2016,2/2/2016,4/30/2016,,,Luanda Province,Viana Municipality,,Angola_2016_1_admin,2124758,1535102,,https://iris.who.int/items/f5ce0a3f-add8-4b3c-b060-09224e07cb31,https://reliefweb.int/report/angola/yellow-fever-outbreak-angola-incident-management-situation-report-27-june-2016,
Angola ,Angola_2016,2/2/2016,4/30/2016,,,Luanda Province,Viana Municipality,,Angola_2016_1_im,,1535102,86.3,https://iris.who.int/items/f5ce0a3f-add8-4b3c-b060-09224e07cb31,https://reliefweb.int/report/angola/yellow-fever-outbreak-angola-incident-management-situation-report-27-june-2016,
Angola ,Angola_2016,2/19/2016,4/30/2016,,,Luanda Province,Belas Municipality,,Angola_2016_1_admin,1288081,1071662,,https://iris.who.int/items/f5ce0a3f-add8-4b3c-b060-09224e07cb31,https://reliefweb.int/report/angola/yellow-fever-outbreak-angola-incident-management-situation-report-27-june-2016,
Angola ,Angola_2016,2/19/2016,4/30/2016,,,Luanda Province,Belas Municipality,,Angola_2016_1_im,,1071662,88.2,https://iris.who.int/items/f5ce0a3f-add8-4b3c-b060-09224e07cb31,https://reliefweb.int/report/angola/yellow-fever-outbreak-angola-incident-management-situation-report-27-june-2016,
Angola ,Angola_2016,2/29/2016,4/30/2016,,,Luanda Province,Cazenga Municipality,,Angola_2016_1_admin,819320,867659,,https://iris.who.int/items/f5ce0a3f-add8-4b3c-b060-09224e07cb31,https://reliefweb.int/report/angola/yellow-fever-outbreak-angola-incident-management-situation-report-27-june-2016,
Angola ,Angola_2016,2/29/2016,4/30/2016,,,Luanda Province,Cazenga Municipality,,Angola_2016_1_im,,867659,94.3,https://iris.who.int/items/f5ce0a3f-add8-4b3c-b060-09224e07cb31,https://reliefweb.int/report/angola/yellow-fever-outbreak-angola-incident-management-situation-report-27-june-2016,
Angola ,Angola_2016,2/29/2016,4/30/2016,,,Luanda Province,Cacuaco Municipality,,Angola_2016_1_admin,772521,887829,,https://iris.who.int/items/f5ce0a3f-add8-4b3c-b060-09224e07cb31,https://reliefweb.int/report/angola/yellow-fever-outbreak-angola-incident-management-situation-report-27-june-2016,
Angola ,Angola_2016,2/29/2016,4/30/2016,,,Luanda Province,Cacuaco Municipality,,Angola_2016_1_im,,887829,87.8,https://iris.who.int/items/f5ce0a3f-add8-4b3c-b060-09224e07cb31,https://reliefweb.int/report/angola/yellow-fever-outbreak-angola-incident-management-situation-report-27-june-2016,
Angola ,Angola_2016,3/10/2016,4/30/2016,,,Luanda Province,K. Kiaxi Municipality,,Angola_2016_1_admin,214693,640006,,https://iris.who.int/items/f5ce0a3f-add8-4b3c-b060-09224e07cb31,https://reliefweb.int/report/angola/yellow-fever-outbreak-angola-incident-management-situation-report-27-june-2016,
Angola ,Angola_2016,3/10/2016,4/30/2016,,,Luanda Province,K. Kiaxi Municipality,,Angola_2016_1_im,,640006,79,https://iris.who.int/items/f5ce0a3f-add8-4b3c-b060-09224e07cb31,https://reliefweb.int/report/angola/yellow-fever-outbreak-angola-incident-management-situation-report-27-june-2016,
Angola ,Angola_2016,3/14/2016,4/30/2016,,,Luanda Province,Maianga Municipality,,Angola_2016_1_admin,486466,660884,,https://iris.who.int/items/f5ce0a3f-add8-4b3c-b060-09224e07cb31,https://reliefweb.int/report/angola/yellow-fever-outbreak-angola-incident-management-situation-report-27-june-2016,
Angola ,Angola_2016,3/14/2016,4/30/2016,,,Luanda Province,Maianga Municipality,,Angola_2016_1_im,,660884,99.8,https://iris.who.int/items/f5ce0a3f-add8-4b3c-b060-09224e07cb31,https://reliefweb.int/report/angola/yellow-fever-outbreak-angola-incident-management-situation-report-27-june-2016,
Angola ,Angola_2016,3/20/2016,4/30/2016,,,Luanda Province,Sambizanga Municipality,,Angola_2016_1_admin,136697,433970,,https://iris.who.int/items/f5ce0a3f-add8-4b3c-b060-09224e07cb31,https://reliefweb.int/report/angola/yellow-fever-outbreak-angola-incident-management-situation-report-27-june-2016,
Angola ,Angola_2016,3/20/2016,4/30/2016,,,Luanda Province,Sambizanga Municipality,,Angola_2016_1_im,,433970,79.7,https://iris.who.int/items/f5ce0a3f-add8-4b3c-b060-09224e07cb31,https://reliefweb.int/report/angola/yellow-fever-outbreak-angola-incident-management-situation-report-27-june-2016,
Angola ,Angola_2016,3/24/2016,4/30/2016,,,Luanda Province,Ingombota Municipality,,Angola_2016_1_admin,63271,89556,,https://iris.who.int/items/f5ce0a3f-add8-4b3c-b060-09224e07cb31,https://reliefweb.int/report/angola/yellow-fever-outbreak-angola-incident-management-situation-report-27-june-2016,
Angola ,Angola_2016,3/24/2016,4/30/2016,,,Luanda Province,Ingombota Municipality,,Angola_2016_1_im,,89556,91.3,https://iris.who.int/items/f5ce0a3f-add8-4b3c-b060-09224e07cb31,https://reliefweb.int/report/angola/yellow-fever-outbreak-angola-incident-management-situation-report-27-june-2016,
Angola ,Angola_2016,3/24/2016,4/30/2016,,,Luanda Province,Samba Municipality,,Angola_2016_1_admin,55358,160174,,https://iris.who.int/items/f5ce0a3f-add8-4b3c-b060-09224e07cb31,https://reliefweb.int/report/angola/yellow-fever-outbreak-angola-incident-management-situation-report-27-june-2016,
Angola ,Angola_2016,3/24/2016,4/30/2016,,,Luanda Province,Samba Municipality,,Angola_2016_1_im,,160174,91.3,https://iris.who.int/items/f5ce0a3f-add8-4b3c-b060-09224e07cb31,https://reliefweb.int/report/angola/yellow-fever-outbreak-angola-incident-management-situation-report-27-june-2016,
Angola ,Angola_2016,3/28/2016,4/30/2016,,,Luanda Province,Rangel Municipality,,Angola_2016_1_admin,43366,136031,,https://iris.who.int/items/f5ce0a3f-add8-4b3c-b060-09224e07cb31,https://reliefweb.int/report/angola/yellow-fever-outbreak-angola-incident-management-situation-report-27-june-2016,
Angola ,Angola_2016,3/28/2016,4/30/2016,,,Luanda Province,Rangel Municipality,,Angola_2016_1_im,,136031,94.4,https://iris.who.int/items/f5ce0a3f-add8-4b3c-b060-09224e07cb31,https://reliefweb.int/report/angola/yellow-fever-outbreak-angola-incident-management-situation-report-27-june-2016,
Angola ,Angola_2016,3/28/2016,4/30/2016,,,Luanda Province,Icolo e Bengo Municipality,,Angola_2016_1_admin,39135,75103,,https://iris.who.int/items/f5ce0a3f-add8-4b3c-b060-09224e07cb31,https://reliefweb.int/report/angola/yellow-fever-outbreak-angola-incident-management-situation-report-27-june-2016,
Angola ,Angola_2016,3/28/2016,4/30/2016,,,Luanda Province,Icolo e Bengo Municipality,,Angola_2016_1_im,,75103,81.5,https://iris.who.int/items/f5ce0a3f-add8-4b3c-b060-09224e07cb31,https://reliefweb.int/report/angola/yellow-fever-outbreak-angola-incident-management-situation-report-27-june-2016,
Angola ,Angola_2016,3/28/2016,4/30/2016,,,Luanda Province,Kissama Municipality,,Angola_2016_1_admin,13774,25240,,https://iris.who.int/items/f5ce0a3f-add8-4b3c-b060-09224e07cb31,https://reliefweb.int/report/angola/yellow-fever-outbreak-angola-incident-management-situation-report-27-june-2016,
Angola ,Angola_2016,3/28/2016,4/30/2016,,,Luanda Province,Kissama Municipality,,Angola_2016_1_im,,25240,91.1,https://iris.who.int/items/f5ce0a3f-add8-4b3c-b060-09224e07cb31,https://reliefweb.int/report/angola/yellow-fever-outbreak-angola-incident-management-situation-report-27-june-2016,
Uganda,Uganda_2016,5/19/2016,5/22/2016,,,Central Region,Masaka District,,Uganda_2016_1,273447,301743,,https://reliefweb.int/report/uganda/uganda-co-south-sudanese-burundi-and-drc-refugees-internal-displacement-and-disease-1,https://reliefweb.int/report/democratic-republic-congo/compendium-short-reports-selected-outbreaks-who-african-region-2016,
Uganda,Uganda_2016,5/19/2016,5/22/2016,,,Western Region,Rukungiri District,,Uganda_2016_1,304605,314155,,https://reliefweb.int/report/uganda/uganda-co-south-sudanese-burundi-and-drc-refugees-internal-displacement-and-disease-1,https://reliefweb.int/report/democratic-republic-congo/compendium-short-reports-selected-outbreaks-who-african-region-2016,
DRC,DRC_2016,5/26/2016,6/4/2016,,,Kongo Central Health Zone,,,DRC_2016_1,1367625,1322637,,https://reliefweb.int/report/democratic-republic-congo/democratic-republic-congo-yellow-fever-emergency-plan-action-epoa-0,,
DRC,DRC_2016,5/26/2016,6/4/2016,,,Boma Health Zone,,,DRC_2016_1,221087,210440,,https://reliefweb.int/report/democratic-republic-congo/democratic-republic-congo-yellow-fever-emergency-plan-action-epoa-0,,
DRC,DRC_2016,5/26/2016,6/4/2016,,,Boma Bungu Health Zone,,,DRC_2016_1,95533,94773,,https://reliefweb.int/report/democratic-republic-congo/democratic-republic-congo-yellow-fever-emergency-plan-action-epoa-0,,
DRC,DRC_2016,5/26/2016,6/4/2016,,,Kitona Health Zone,,,DRC_2016_1,98088,92726,,https://reliefweb.int/report/democratic-republic-congo/democratic-republic-congo-yellow-fever-emergency-plan-action-epoa-0,,
DRC,DRC_2016,5/26/2016,6/4/2016,,,Muanda Health Zone,,,DRC_2016_1,159482,161160,,https://reliefweb.int/report/democratic-republic-congo/democratic-republic-congo-yellow-fever-emergency-plan-action-epoa-0,,
DRC,DRC_2016,5/26/2016,6/4/2016,,,Matadi Health Zone,,,DRC_2016_1,243107,243825,,https://reliefweb.int/report/democratic-republic-congo/democratic-republic-congo-yellow-fever-emergency-plan-action-epoa-0,,
DRC,DRC_2016,5/26/2016,6/4/2016,,,Nsona-Pangu Health Zone,,,DRC_2016_1,103948,98120,,https://reliefweb.int/report/democratic-republic-congo/democratic-republic-congo-yellow-fever-emergency-plan-action-epoa-0,,
DRC,DRC_2016,5/26/2016,6/4/2016,,,Nzanza Health Zone,,,DRC_2016_1,144733,148368,,https://reliefweb.int/report/democratic-republic-congo/democratic-republic-congo-yellow-fever-emergency-plan-action-epoa-0,,
DRC,DRC_2016,5/26/2016,6/4/2016,,,Kimpangu Health Zone,,,DRC_2016_1,115544,113046,,https://reliefweb.int/report/democratic-republic-congo/democratic-republic-congo-yellow-fever-emergency-plan-action-epoa-0,,
DRC,DRC_2016,5/26/2016,6/4/2016,,,Kimpese Health Zone,,,DRC_2016_1,186103,160180,,https://reliefweb.int/report/democratic-republic-congo/democratic-republic-congo-yellow-fever-emergency-plan-action-epoa-0,,
DRC,DRC_2016,5/26/2016,6/4/2016,,,Kinshasa Health Zone,,,DRC_2016_1,743880,655096,,https://reliefweb.int/report/democratic-republic-congo/democratic-republic-congo-yellow-fever-emergency-plan-action-epoa-0,,
DRC,DRC_2016,5/26/2016,6/4/2016,,,Masina 2 Health Zone,,,DRC_2016_1,368744,322702,,https://reliefweb.int/report/democratic-republic-congo/democratic-republic-congo-yellow-fever-emergency-plan-action-epoa-0,,
DRC,DRC_2016,5/26/2016,6/4/2016,,,Ndjili Health Zone,,,DRC_2016_1,375136,332394,,https://reliefweb.int/report/democratic-republic-congo/democratic-republic-congo-yellow-fever-emergency-plan-action-epoa-0,,
Uganda,Uganda_2016,6/4/2016,6/7/2016,,,Central Province,Kalangala District,,Uganda_2016_1,49654,52338,,https://reliefweb.int/report/uganda/uganda-co-south-sudanese-burundi-and-drc-refugees-internal-displacement-and-disease-1,https://reliefweb.int/report/democratic-republic-congo/compendium-short-reports-selected-outbreaks-who-african-region-2016,
DRC,DRC_2016,8/16/2016,9/5/2016,,,Kinshasa Province,,,DRC_2016_2,,,103.1,https://reliefweb.int/report/world/outbreaks-and-emergencies-who-african-region-bulletin-vol-6-issue-5-31-august-2016,"https://www.who.int/news/item/02-09-2016-millions-protected-in-africa-s-largest-ever-emergency-yellow-fever-vaccination-campaign#:~:text=A%20major%20part%20of%20the,Republic%20of%20Congo%20(DRC).",
DRC,DRC_2016,8/16/2016,9/5/2016,,,Kasai Central Province,,,DRC_2016_2,,,101,https://reliefweb.int/report/world/outbreaks-and-emergencies-who-african-region-bulletin-vol-6-issue-5-31-august-2016,"https://www.who.int/news/item/02-09-2016-millions-protected-in-africa-s-largest-ever-emergency-yellow-fever-vaccination-campaign#:~:text=A%20major%20part%20of%20the,Republic%20of%20Congo%20(DRC).",
DRC,DRC_2016,8/16/2016,9/5/2016,,,Kongo Central Province,,,DRC_2016_2,,,98.3,https://reliefweb.int/report/world/outbreaks-and-emergencies-who-african-region-bulletin-vol-6-issue-5-31-august-2016,"https://www.who.int/news/item/02-09-2016-millions-protected-in-africa-s-largest-ever-emergency-yellow-fever-vaccination-campaign#:~:text=A%20major%20part%20of%20the,Republic%20of%20Congo%20(DRC).",
DRC,DRC_2016,8/16/2016,9/5/2016,,,Kasai Province,,,DRC_2016_2,,,101,https://reliefweb.int/report/world/outbreaks-and-emergencies-who-african-region-bulletin-vol-6-issue-5-31-august-2016,"https://www.who.int/news/item/02-09-2016-millions-protected-in-africa-s-largest-ever-emergency-yellow-fever-vaccination-campaign#:~:text=A%20major%20part%20of%20the,Republic%20of%20Congo%20(DRC).",
DRC,DRC_2016,8/16/2016,9/5/2016,,,Kwango Province,,,DRC_2016_2,,,101,https://reliefweb.int/report/world/outbreaks-and-emergencies-who-african-region-bulletin-vol-6-issue-5-31-august-2016,"https://www.who.int/news/item/02-09-2016-millions-protected-in-africa-s-largest-ever-emergency-yellow-fever-vaccination-campaign#:~:text=A%20major%20part%20of%20the,Republic%20of%20Congo%20(DRC).",
DRC,DRC_2016,8/16/2016,9/5/2016,,,Lualaba Province,,,DRC_2016_2,,,100.8,https://reliefweb.int/report/world/outbreaks-and-emergencies-who-african-region-bulletin-vol-6-issue-5-31-august-2016,"https://www.who.int/news/item/02-09-2016-millions-protected-in-africa-s-largest-ever-emergency-yellow-fever-vaccination-campaign#:~:text=A%20major%20part%20of%20the,Republic%20of%20Congo%20(DRC).",
DRC,DRC_2016,8/16/2016,9/5/2016,,,Kinshasa Province,,,DRC_2016_2_im,,,98.2,https://reliefweb.int/report/world/outbreaks-and-emergencies-who-african-region-bulletin-vol-6-issue-5-31-august-2016,"https://www.who.int/news/item/02-09-2016-millions-protected-in-africa-s-largest-ever-emergency-yellow-fever-vaccination-campaign#:~:text=A%20major%20part%20of%20the,Republic%20of%20Congo%20(DRC).",
Nigeria,Nigeria_2017,10/11/2017,10/20/2017,12/8/2017,12/17/2017,North-Central Zone,Kwara State,,Nigeria_2017_1_pv,"1,025,727",,87,https://pmc.ncbi.nlm.nih.gov/articles/PMC8504075/,https://ncdc.gov.ng/diseases/sitreps/?cat=10&name=An%20update%20of%20Yellow%20Fever%20outbreak%20in%20Nigeria,
Nigeria,Nigeria_2017,10/11/2017,10/20/2017,12/8/2017,12/17/2017,North-Central Zone,Kogi State,,Nigeria_2017_1_pv,"776,995",,92,https://pmc.ncbi.nlm.nih.gov/articles/PMC8504075/,https://ncdc.gov.ng/diseases/sitreps/?cat=10&name=An%20update%20of%20Yellow%20Fever%20outbreak%20in%20Nigeria,
Nigeria,Nigeria_2017,12/1/2017,12/10/2017,,,Northwest Zone,Zamfara State,,Nigeria_2017_2_pv,1250404,,80,https://pmc.ncbi.nlm.nih.gov/articles/PMC8504075/,https://ncdc.gov.ng/diseases/sitreps/?cat=10&name=An%20update%20of%20Yellow%20Fever%20outbreak%20in%20Nigeria,
Nigeria,Nigeria_2018,3/10/2018,3/19/2018,,,Northwest Zone,Kebbi State,,Nigeria_2018_1_pv,1525308,,89,https://pmc.ncbi.nlm.nih.gov/articles/PMC8504075/,https://x.com/NigeriaGov/status/972204153169698817,
Nigeria,Nigeria_2018,3/10/2018,3/19/2018,,,Northwest Zone,Sokoto State,,Nigeria_2018_1_pv,191239,,87,https://pmc.ncbi.nlm.nih.gov/articles/PMC8504075/,https://x.com/NigeriaGov/status/972204153169698817,
Nigeria,Nigeria_2018,3/19/2018,3/28/2018,,,North-Central Zone,Niger State,,Nigeria_2018_2_pv,1222506,,91,https://pmc.ncbi.nlm.nih.gov/articles/PMC8504075/,https://x.com/NigeriaGov/status/972204153169698817,
Nigeria ,Nigeria_2018,8/9/2018,8/18/2018,,,Northwest Zone,Katsina State,Danja District,Nigeria_2018_3_pv,154131,,74,https://pmc.ncbi.nlm.nih.gov/articles/PMC8504075/,"https://www.afro.who.int/news/who-supports-government-protect-over-150000-population-risk-yellow-fever-katsina-state#:~:text=“The%20campaign%20in%20Katsina%20is,WHO%20Country%20Representative%20(WR).",
Ethiopia,Ethiopia_2018,10/13/2018,10/19/2018,,,"Southern Nations, Nationalities, and Peoples' Region",Offa Woreda District,,Ethiopia_2018_1,,31365,99.2,https://iris.who.int/server/api/core/bitstreams/65650612-1c79-426c-88f5-25f0046c8911/content,https://www.afro.who.int/news/ethiopia-vaccinate-more-1-million-people-against-yellow-fever,
Ethiopia,Ethiopia_2018,11/16/2018,11/23/2018,,,"Southern Nations, Nationalities, and Peoples' Region","Wolayita Zone, Gamo Gofa Zone",,Ethiopia_2018_2,1342918,1307908,,https://reliefweb.int/report/ethiopia/unicef-ethiopia-humanitarian-situation-report-11-reporting-period-november-2018,,
Nigeria ,Nigeria_2018,12/18/2018,12/24/2018,,,South-South Zone,Edo State,,Nigeria_2018_4_admin,1734423,,120.1,https://link.springer.com/article/10.1186/s12889-022-14043-6,,
