outbreak.identifier,outbreak.year,country,index.presentation,index.onset,index.sus.conf,react.vac.local.start,react.vac.mass.start,tot.cases.reported,tot.cases.sus,tot.cases.confirmed,tot.cases.prob,tot.deaths.reported,tot.deaths.sus,tot.deaths.confirmed,tot.deaths.prob,first.case confirmed,who.notif,outbreak.dec,source.one,source.two,source.three,source.four,source.five
South_Sudan_2023,2023,South Sudan,12/14/2023,12/14/2023,confirmed,NA,2/13/2024,139,136,3,NA,6,NA,NA,NA,12/24/2023,12/24/2023,12/24/2023,https://www.afro.who.int/sites/default/files/2024-02/South%20Sudan%20IDSR%20Weekly%20Bulletin%20Week%2003%2C%2015-21%20January%202024.pdf,https://www.afro.who.int/sites/default/files/2024-03/South%20Sudan%20IDSR%20Weekly%20Bulletin%20Week%2007%2C%2012%20-%2018%20February%202024.pdf,https://iris.who.int/server/api/core/bitstreams/efe5ba12-ddf9-407b-a695-035f2489d3a9/content,,
NigeriaBauchi_2019,2019,"Nigeria, Bauchi",NA,NA,NA,NA,9/12/2019,243,NA,28,NA,34,NA,0,NA,8/29/2019,NA,NA,https://ncdc.gov.ng/diseases/sitreps/?cat=10&name=An%20update%20of%20Yellow%20Fever%20outbreak%20in%20Nigeria,https://reliefweb.int/report/nigeria/bauchi-state-governor-initiates-yellow-fever-campaign-targeting-500000-people,https://www.who.int/emergencies/disease-outbreak-news/item/2019-DON403,https://reliefweb.int/report/nigeria/nigeria-centre-disease-control-responds-cases-yellow-fever-bauchi-state,
NigeriaEbonyi_2019,2019,"Nigeria, Ebonyi",NA,NA,NA,NA,9/7/2019,84,NA,7,NA,26,NA,NA,NA,NA,NA,NA,https://www.who.int/emergencies/disease-outbreak-news/item/2019-DON189,"https://reliefweb.int/report/nigeria/nigeria-launches-yellow-fever-vaccination-reactive-campaign-contain-outbreak-ebonyi#:~:text=The%2010%2Dday%20campaign%20(07,the%20outbreak%20in%20affected%20areas.",,,
Guinea_2020,2020,Guinea,NA,NA,NA,NA,2/15/2021,54,NA,7,NA,14,NA,NA,NA,NA,11/19/2020,NA,https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON302,https://iris.who.int/bitstream/handle/10665/338413/OEW01-271203012021.pdf?sequence=1&isAllowed=y,https://app.powerbi.com/view?r=eyJrIjoiMzhlYWRjODQtMjQ4Ny00OThjLTlmNTItYTFiM2E2ZDM5ZDQ2IiwidCI6ImY2MTBjMGI3LWJkMjQtNGIzOS04MTBiLTNkYzI4MGFmYjU5MCIsImMiOjh9,https://iris.who.int/items/9e146e16-9e9c-4ca4-a593-cf31e96df23a,
Ghana_2021,2021,Ghana,10/20/2021,NA,probable,11/6/2021,12/17/2021,71,NA,NA,NA,22,NA,NA,NA,NA,11/3/2021,NA,https://www.who.int/emergencies/disease-outbreak-news/item/yellow-fever---ghana,https://iris.who.int/bitstream/handle/10665/352474/OEW11-0713032022.pdf?sequence=1&isAllowed=y,https://iris.who.int/bitstream/handle/10665/374029/9789290314905-eng.pdf?sequence=1&isAllowed=y,Unpublished 2021 Ghana outbreak data,
Ethiopia_2018,2018,Ethiopia,8/28/2018,8/21/2018,suspected,10/13/2018,11/16/2018,35,NA,5,NA,10,NA,NA,NA,10/26/2018,10/4/2018,NA,https://iris.who.int/bitstream/handle/10665/275741/OEW44-271002112018.pdf?sequence=1&isAllowed=y,https://reliefweb.int/report/ethiopia/unicef-ethiopia-humanitarian-situation-report-11-reporting-period-november-2018,https://reliefweb.int/report/democratic-republic-congo/who-afro-outbreaks-and-other-emergencies-week-51-15-21-december,"https://www.afro.who.int/news/ethiopia-vaccinate-more-1-million-people-against-yellow-fever#:~:text=In%20response%2C%20health%20authorities%2C%20WHO,Humbo%2C%20Boreda%2C%20and%20Kucha.",
Ethiopia_2020,2020,Ethiopia,3/3/2020,NA,probable,3/26/2020,10/23/2020,85,NA,2,NA,4,NA,1,NA,3/28/2020,3/3/2020,NA,https://iris.who.int/handle/10665/331692?search-result=true&query=yellow+fever&current-scope=10665%2F1637&filtertype_0=dateIssued&filtertype_1=author&filter_relational_operator_1=contains&filter_relational_operator_0=equals&filter_1=&filter_0=%5B2020+TO+2025%5D&rpp=10&sort_by=dc.date.issued_dt&order=asc&page=2,https://iris.who.int/handle/10665/344323,https://reliefweb.int/report/ethiopia/yellow-fever-contained-kills-four,https://app.powerbi.com/view?r=eyJrIjoiMzhlYWRjODQtMjQ4Ny00OThjLTlmNTItYTFiM2E2ZDM5ZDQ2IiwidCI6ImY2MTBjMGI3LWJkMjQtNGIzOS04MTBiLTNkYzI4MGFmYjU5MCIsImMiOjh9,
DRC_2013,2013,DRC,NA,12/10/2013,confirmed,NA,5/20/2014,278,NA,7,NA,6,NA,0,NA,3/11/2014,3/12/2014,NA,https://www.who.int/emergencies/disease-outbreak-news/item/2014_04_24_yellowfever-en,https://iris.who.int/handle/10665/242378,,,
DRC_2018,2018,DRC,NA,NA,NA,NA,9/25/2018,15,NA,12,NA,4,NA,NA,NA,NA,6/23/2018,NA,https://www.afro.who.int/publications/outbreaks-and-emergencies-bulletin-week-15-08-14-april-2019,https://app.powerbi.com/view?r=eyJrIjoiMzhlYWRjODQtMjQ4Ny00OThjLTlmNTItYTFiM2E2ZDM5ZDQ2IiwidCI6ImY2MTBjMGI3LWJkMjQtNGIzOS04MTBiLTNkYzI4MGFmYjU5MCIsImMiOjh9,,,
Chad_2021,2021,Chad,NA,NA,NA,NA,1/19/2022,2249,2182,30,37,7,NA,NA,NA,11/13/2021,11/13/2021,NA,https://iris.who.int/bitstream/handle/10665/360510/OEW29-1117072022.pdf?sequence=1&isAllowed=y,https://reliefweb.int/report/uganda/weekly-bulletin-outbreaks-and-other-emergencies-week-50-5-11-december-2022,,,
Cameroon_2024,2024,Cameroon,NA,NA,NA,NA,4/10/2024,2224,NA,21,NA,2,0,2,0,NA,11/20/2023,NA,https://iris.who.int/bitstream/handle/10665/380354/OEW4-2026012025.pdf?sequence=1&isAllowed=y,https://iris.who.int/handle/10665/384521,,,
Uganda_2016,2016,Uganda,NA,NA,NA,NA,5/19/2016,91,NA,7,35,3,NA,NA,NA,NA,NA,4/19/2016,https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-018-3440-y,https://reliefweb.int/report/democratic-republic-congo/compendium-short-reports-selected-outbreaks-who-african-region-2016,https://reliefweb.int/report/world/outbreaks-and-emergencies-who-african-region-bulletin-vol-6-issue-4-30-june-2016,,
Sierra_Leone_2011,2011,Sierra Leone,NA,1/17/2011,confirmed,NA,3/5/2011,2,0,2,0,NA,NA,NA,NA,2/1/2011,NA,NA,https://www.who.int/emergencies/disease-outbreak-news/item/2011_03_11-en,,,,
Ghana_2011,2011,Ghana,NA,10/11/2011,suspected,NA,11/22/2011,4,,3,,3,NA,2,NA,NA,NA,12/20/2011,https://reliefweb.int/report/ghana/ghana-yellow-fever-outbreak-dref-operation-n°-mdrgh005-final-report,https://reliefweb.int/report/ghana/yellow-fever-outbreak-dref-operation-n°-mdrgh005,https://www.who.int/emergencies/disease-outbreak-news/item/2012_02_03b-en/,,
Cote_d'Ivoire_2011,2011,Cote d'Ivoire,NA,NA,NA,NA,1/22/2011,66,NA,12,NA,11,NA,NA,NA,NA,1/3/2011,NA,https://www.who.int/emergencies/disease-outbreak-news/item/2011_01_25-en,https://reliefweb.int/report/côte-divoire/côte-d’ivoirewest-coast-yellow-fever-outbreak-dref-operation-no-mdrci002-final,,,
Congo_2012,2012,Congo,NA,NA,NA,NA,12/17/2012,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,https://www.who.int/emergencies/disease-outbreak-news/item/2012_12_12-en,,,,
Cameroon_2011,2011,Cameroon,NA,NA,NA,NA,1/23/2012,24,NA,23,NA,7,NA,NA,NA,NA,NA,NA,https://www.researchgate.net/publication/331089142_Yellow_fever_outbreak_in_North_Cameroon,,,,
Angola_2015,2015,Angola,NA,12/5/2015,confirmed,NA,2/2/2016,4618,NA,884,NA,394,NA,121,NA,1/20/2016,1/21/2016,NA,https://www.who.int/emergencies/disease-outbreak-news/item/13-april-2016-yellow-fever-angola-en,https://onlinelibrary.wiley.com/doi/10.1002/hsr2.1924,https://www.afro.who.int/sites/default/files/2017-06/sitrep_yf_ang_mar_14_2016.pdf,https://reliefweb.int/report/angola/china-gives-financial-assistance-angola-fight-yellow-fever,
Kenya_2022,2022,Kenya,1/12/2022,NA,suspected,NA,7/23/2022,141,NA,3,NA,11,NA,NA,NA,NA,3/3/2022,3/3/2022,https://reliefweb.int/report/kenya/kenya-vector-borne-diseases-outbreaks-dref-ndeg-mdrke050-final-report,https://reliefweb.int/report/kenya/kenya-integrated-vector-borne-diseases-outbreak-emergency-plan-action-epoa-dref-n,https://reliefweb.int/report/kenya/kenya-integrated-vector-borne-diseases-outbreak-dref-ndeg-mdrke050-operation-update-ndeg-1,https://www.afro.who.int/publications/outbreaks-and-emergencies-bulletin-week-52-19-25-december-2022,https://reliefweb.int/report/kenya/kenya-alert-it-reports-outbreak-yellow-fever
Sudan_2012,2012,Sudan,9/1/2012,NA,suspected,NA,11/20/2012,844,NA,48,NA,171,NA,NA,NA,10/26/2012,10/29/2012,10/29/2012,"https://www.who.int/emergencies/disease-outbreak-news/item/2012_11_22-en#:~:text=22%20November%202012%20%2D%20The%20Federal,in%20response%20to%20the%20outbreak.",10.3934/publichealth.2015.1.132,https://reliefweb.int/report/sudan/yellow-fever-hits-central-and-south-darfur,https://reliefweb.int/report/world/global-emergency-overview-snapshot-25-february-4-march-2013,
Uganda_2010,2010,Uganda,NA,10/2/2010,suspected,NA,1/20/2011,273,NA,13,NA,58,NA,7,NA,12/18/2010,12/23/2010,NA,https://www.sciencedirect.com/science/article/pii/S1201971212001166#bib0075,https://iris.who.int/handle/10665/241702,https://reliefweb.int/report/uganda/yellow-fever-epidemic-dref-operation-final-report-n°-mdrug019,,
DRC_2013,2013,DRC,NA,3/1/2013,confirmed,NA,6/20/2013,6,0,6,0,0,NA,0,NA,6/6/2013,NA,6/21/2013,https://www.who.int/emergencies/disease-outbreak-news/item/2013_06_14_yellowfever-en,https://apps.who.int/iris/handle/10665/242238,https://reliefweb.int/report/world/global-emergency-overview-snapshot-24-june-1-july-2013,,
CameroonLittoral_2013,2013,"Cameroon, Littoral",NA,3/15/2013,confirmed,NA,8/27/2013,8,NA,2,NA,0,0,0,0,NA,NA,NA,https://iris.who.int/server/api/core/bitstreams/ae56e7b4-a88f-4c61-bce0-d1f1a3872936/content,,,,
CameroonWestern/Central_2013,2013,"Cameroon, Western/Central",NA,9/17/2013,suspected,NA,1/3/2014,2,NA,NA,NA,0,0,0,0,NA,NA,NA,https://iris.who.int/server/api/core/bitstreams/ae56e7b4-a88f-4c61-bce0-d1f1a3872936/content,,,,
Chad_2012,2012,Chad,NA,NA,NA,NA,2/22/2013,139,137,2,NA,9,NA,NA,NA,NA,NA,NA,https://www.who.int/emergencies/disease-outbreak-news/item/2013_02_14-en,,,,
Congo_2018,2018,Congo,7/9/2018,7/5/2018,confirmed,NA,9/26/2018,70,69,1,0,0,NA,0,NA,7/30/2018,7/10/2018,8/22/2018,https://reliefweb.int/report/democratic-republic-congo/who-afro-outbreaks-and-other-emergencies-week-39-22-28-september,https://iris.who.int/server/api/core/bitstreams/8b82d333-5332-4fa0-93bb-218d16ee332d/content,https://www.who.int/emergencies/disease-outbreak-news/item/7-september-2018-yellow-fever-congo-en,,
Senegal_2020,2020,Senegal,10/18/2020,NA,confirmed,NA,2/15/2021,7,0,7,0,2,NA,2,NA,10/29/2020,NA,NA,https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON303,https://app.powerbi.com/view?r=eyJrIjoiMzhlYWRjODQtMjQ4Ny00OThjLTlmNTItYTFiM2E2ZDM5ZDQ2IiwidCI6ImY2MTBjMGI3LWJkMjQtNGIzOS04MTBiLTNkYzI4MGFmYjU5MCIsImMiOjh9,https://iris.who.int/server/api/core/bitstreams/cfa65687-0e10-4798-96a9-0367428c0af4/content,,
Cameroon_2021,2021,Cameroon,NA,1/4/2021,suspected,NA,5/30/2022,3035,2983,35,17,0,0,0,0,1/11/2021,2/7/2021,NA,https://iris.who.int/handle/10665/344613,https://app.powerbi.com/view?r=eyJrIjoiMzhlYWRjODQtMjQ4Ny00OThjLTlmNTItYTFiM2E2ZDM5ZDQ2IiwidCI6ImY2MTBjMGI3LWJkMjQtNGIzOS04MTBiLTNkYzI4MGFmYjU5MCIsImMiOjh9,https://iris.who.int/server/api/core/bitstreams/3b12f943-4e57-4638-b73c-ab1ab0bd4391/content,,
Burkina_Faso_2024,2024,Burkina Faso,NA,NA,NA,NA,9/10/2025,NA,NA,19,NA,NA,NA,0,NA,NA,NA,NA,https://iris.who.int/handle/10665/384521,https://app.powerbi.com/view?r=eyJrIjoiMzhlYWRjODQtMjQ4Ny00OThjLTlmNTItYTFiM2E2ZDM5ZDQ2IiwidCI6ImY2MTBjMGI3LWJkMjQtNGIzOS04MTBiLTNkYzI4MGFmYjU5MCIsImMiOjh9,,,
CAR_2023,2023,CAR,NA,NA,NA,NA,7/6/2024,NA,NA,4,1,0,NA,0,0,NA,6/12/2023,NA,https://iris.who.int/handle/10665/379891,https://iris.who.int/handle/10665/384521,https://app.powerbi.com/view?r=eyJrIjoiMzhlYWRjODQtMjQ4Ny00OThjLTlmNTItYTFiM2E2ZDM5ZDQ2IiwidCI6ImY2MTBjMGI3LWJkMjQtNGIzOS04MTBiLTNkYzI4MGFmYjU5MCIsImMiOjh9,,
CAR_2023,2023,CAR,NA,NA,NA,NA,9/25/2023,NA,NA,5,0,NA,NA,1,0,NA,NA,NA,https://iris.who.int/handle/10665/378644,https://app.powerbi.com/view?r=eyJrIjoiMzhlYWRjODQtMjQ4Ny00OThjLTlmNTItYTFiM2E2ZDM5ZDQ2IiwidCI6ImY2MTBjMGI3LWJkMjQtNGIzOS04MTBiLTNkYzI4MGFmYjU5MCIsImMiOjh9,,,
Guinea_2023,2023,Guinea,NA,NA,NA,NA,5/6/2024,NA,NA,3,0,NA,NA,1,0,NA,NA,NA,https://iris.who.int/handle/10665/378644,https://app.powerbi.com/view?r=eyJrIjoiMzhlYWRjODQtMjQ4Ny00OThjLTlmNTItYTFiM2E2ZDM5ZDQ2IiwidCI6ImY2MTBjMGI3LWJkMjQtNGIzOS04MTBiLTNkYzI4MGFmYjU5MCIsImMiOjh9,,,
CAR_2022,2022,CAR,NA,NA,NA,NA,11/2/2022,19,NA,14,5,NA,NA,2,NA,NA,NA,NA,https://iris.who.int/handle/10665/372802,https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON431,,,
